word_id,english_word,word_type,turkish_meaning,category_1,category_2,category_3,english_level,sample_sentence_en,sample_sentence_tr,is_known
37,fantastic,adjective,fantastik,Oxford-3000, , ,A1,You look fantastic in that dress.,O elbiseyle harika görünüyorsun.,0
38,fast,adjective,hızlı,Oxford-3000, , ,A1,The fast train (= one that stops at fewer stations and travels quickly) to London takes less than an hour.,Hızlı tren (= daha az istasyonda duran ve hızlı giden tren) Londra'ya bir saatten az sürüyor.,0
39,fat,adjective,yağ,Oxford-3000, , ,A1,He eats all the time but he never gets fat.,Sürekli yemek yiyor ama asla kilo almıyor.,0
40,favourite,adjective,favori,Oxford-3000, , ,A1,How clever of you to buy chocolate chip cookies - they're my favourites.,Çikolatalı kurabiye almak ne kadar akıllıcaymış; benim de favorim onlar.,0
41,final,adjective,son,Oxford-3000, , ,A1,The game is in its final stages.,Oyun artık son aşamaya geldi.,0
42,fine,adjective,iyi,Oxford-3000, , ,A1,I felt terrible last night but I feel fine this morning.,Dün gece kendimi çok kötü hissettim ama bu sabah kendimi iyi hissediyorum.,0
43,flat,adjective,düz,Oxford-3000, , ,A1,An ice rink needs to be completely flat.,Bir buz pateni pistinin tamamen düz olması gerekir.,0
44,free,adjective,özgür,Oxford-3000, , ,A1,I'll give you a key; so you'll be free to come and go as you like.,Sana bir anahtar vereceğim; böylece istediğin gibi gelip gidebilirsin.,0
45,friendly,adjective,arkadaşça,Oxford-3000, , ,A1,She wasn't very friendly to me the first time we met.,İlk tanıştığımızda bana karşı pek dost canlısı değildi.,0
46,full,adjective,tam dolu,Oxford-3000, , ,A1,This cup is very full so be careful with it.,Bu bardak çok dolu; dikkatli olun.,0
47,funny,adjective,eğlenceli,Oxford-3000, , ,A1,Do you know any funny jokes?,Bildiğiniz komik fıkralar var mı?,0
48,good,adjective,iyi,Oxford-3000, , ,A1,Did you have a good time at the party?,Partide iyi vakit geçirdin mi?,0
49,great,adjective,Harika,Oxford-3000, , ,A1,The issue is of great importance to voters.,Konu seçmen açısından büyük önem taşıyor.,0
50,green,adjective,yeşil,Oxford-3000, , ,A1,The country's Green Party has pledged to invest heavily in public transport.,Ülkenin Yeşil Partisi toplu taşımacılığa büyük yatırım yapma sözü verdi.,0
51,grey,adjective,gri,Oxford-3000,,,A1,The sky is grey today,Bugün gökyüzü gri,0
52,happy,adjective,mutlu,Oxford-3000, , ,A1,They had a happy marriage.,Mutlu bir evlilikleri vardı.,0
53,hard,adjective,zor,Oxford-3000, , ,A1,There was a heavy frost last night and the ground is still hard.,Dün gece çok şiddetli don vardı; toprak hala sert.,0
54,healthy,adjective,sağlıklı,Oxford-3000, , ,A1,She's a normal; healthy child.,O normal; sağlıklı bir çocuk.,0
55,high,adjective,yüksek,Oxford-3000, , ,A1,It's two and a half metres high and one metre wide.,İki buçuk metre yüksekliğinde ve bir metre genişliğinde.,0
56,hot,adjective,sıcak,Oxford-3000, , ,A1,It's too hot in here; can we turn down the heating?,Burası çok sıcak; ısıtmayı azaltabilir miyiz?,0
57,hungry,adjective,aç,Oxford-3000, , ,A1,By four o'clock I was really hungry.,Saat dört olduğunda gerçekten acıkmıştım.,0
58,important,adjective,önemli,Oxford-3000, , ,A1,I think his career is more important to him than I am.,Sanırım kariyeri onun için benden daha önemli.,0
59,interested,adjective,ilgili,Oxford-3000, , ,A1,He didn't seem very interested in what I was saying.,Söylediklerimle pek ilgilenmiyor gibiydi.,0
60,interesting,adjective,ilginç,Oxford-3000, , ,A1,She's quite an interesting woman.,Oldukça ilginç bir kadın.,0
61,large,adjective,büyük,Oxford-3000, , ,A1,We need a larger car.,Daha büyük bir arabaya ihtiyacımız var.,0
62,last (final),adjective,son (final),Oxford-3000,,,A1,This is the last cookie,Bu son kurabiye,0
63,late,adjective,geç,Oxford-3000, , ,A1,It was late at night.,Gece geç vakitlerdi.,0
64,left,adjective,sol,Oxford-3000, , ,A1,His left eye was heavily bandaged.,Sol gözü ağır bir şekilde bandajlanmıştı.,0
65,little,adjective,biraz,Oxford-3000, , ,A1,It came in a little box.,Küçük bir kutunun içinde geldi.,0
66,local,adjective,yerel,Oxford-3000, , ,A1,Most of the local population depend on fishing for their income.,Yerel halkın büyük çoğunluğu geçimini balıkçılıktan sağlıyor.,0
67,long,adjective,uzun,Oxford-3000, , ,A1,I've been waiting a long time.,Uzun zamandır bekliyordum.,0
68,main,adjective,ana,Oxford-3000, , ,A1,The main thing is not to worry.,Önemli olan endişelenmemek.,0
69,married,adjective,evli,Oxford-3000, , ,A1,We've been happily married for five years.,Beş yıldır mutlu bir evliliğimiz var.,0
70,modern,adjective,modern,Oxford-3000, , ,A1,We're in the very modern-looking building opposite the station.,İstasyonun karşısındaki oldukça modern görünümlü binadayız.,0
71,natural,adjective,doğal,Oxford-3000, , ,A1,People say that breast-feeding is better than bottle-feeding because it's more natural.,İnsanlar emzirmenin biberonla beslemekten daha iyi olduğunu söylüyor çünkü daha doğal.,0
72,negative,adjective,negatif,Oxford-3000, , ,A1,We received a negative answer to our request.,Talebimize olumsuz yanıt aldık.,0
73,new,adjective,yeni,Oxford-3000, , ,A1,She's very creative and always coming up with new ideas.,Çok yaratıcı ve her zaman yeni fikirler üretiyor.,0
74,next,adjective,Sonraki,Oxford-3000, , ,A1,Who works in the office next to yours?,Yanınızdaki ofiste kim çalışıyor?,0
75,nice,adjective,Güzel,Oxford-3000, , ,A1,Did you have a nice trip?,Güzel bir yolculuk geçirdiniz mi?,0
76,OK,adjective,TAMAM,Oxford-3000,,,A1,Are you OK,İyi misin,0
77,old,adjective,eskimiş,Oxford-3000, , ,A1,We're all getting older.,Hepimiz yaşlanıyoruz.,0
78,online,adjective,çevrimiçi,Oxford-3000, , ,A1,His parents have no access to his online life.,Ebeveynlerinin onun çevrimiçi hayatına erişimi yok.,0
79,open,adjective,açık,Oxford-3000, , ,A1,An open suitcase lay on her bed.,Yatağının üzerinde açık bir bavul duruyordu.,0
80,opposite,adjective,zıt,Oxford-3000, , ,A1,You'd never know they're sisters - they're completely opposite to each other in every way.,Kardeş olduklarını asla anlayamazsınız; her bakımdan birbirlerine tamamen zıtlar.,0
81,other,adjective,diğer,Oxford-3000,,,A1,I will have the other one,Diğerini alacağım,0
82,outside,adjective,dıştan,Oxford-3000, , ,A1,It was a sunny day outside.,Dışarıda güneşli bir gün vardı.,0
83,perfect,adjective,mükemmel,Oxford-3000, , ,A1,What is your idea of perfect happiness?,Kusursuz mutluluk fikriniz nedir?,0
84,personal,adjective,kişisel,Oxford-3000, , ,A1,My personal opinion/view is that the students should be doing more work outside the classroom.,Kişisel görüşüm/görüşüm; öğrencilerin sınıf dışında daha fazla çalışma yapması gerektiği yönündedir.,0
85,pink,adjective,pembe,Oxford-3000, , ,A1,Have you been in the sun? Your nose is a bit pink.,Güneşe çıktın mı? Burnunun biraz pembe olduğunu düşünüyorum.,0
86,poor,adjective,fakir,Oxford-3000, , ,A1,Most of the world's poorest countries are in Africa.,Dünyanın en fakir ülkelerinin çoğu Afrika'dadır.,0
87,popular,adjective,popüler,Oxford-3000, , ,A1,She's the most popular teacher in school.,Okulun en popüler öğretmenidir.,0
88,positive,adjective,olumlu,Oxford-3000, , ,A1,On a more positive note; we're seeing signs that the housing market is picking up.,Daha olumlu bir noktaya gelirsek; konut piyasasının toparlandığına dair işaretler görüyoruz.,0
89,possible,adjective,olası,Oxford-3000, , ,A1,I can't get it all done by Friday - it's just not possible.,Cuma gününe kadar her şeyi bitiremem; bu mümkün değil.,0
90,purple,adjective,mor,Oxford-3000, , ,A1,"By this point; and purple with rage; all I could think of saying was; ""I think we'll have to agree to disagree.""","Bu noktada; ve öfkeden morarmış bir halde; tek söyleyebildiğim şu oldu: ""Sanırım anlaşamadığımız konusunda anlaşmamız gerekecek.""",0
91,quick,adjective,hızlı,Oxford-3000, , ,A1,It's a quick journey.,Kısa bir yolculuk.,0
92,quiet,adjective,sessizlik,Oxford-3000, , ,A1,She spoke in a quiet voice so as not to wake him.,Onu uyandırmamak için kısık sesle konuşuyordu.,0
93,ready,adjective,hazır,Oxford-3000, , ,A1,Are you ready to leave?,Gitmeye hazır mısın?,0
94,real,adjective,gerçek,Oxford-3000, , ,A1,Assuring the patient that she has a real and not imaginary problem is the first step.,Hastaya gerçek bir sorunu olduğunu; hayal ürünü olmadığını garanti etmek ilk adımdır.,0
95,red,adjective,kırmızı,Oxford-3000, , ,A1,The dress was bright red.,Elbise parlak kırmızıydı.,0
96,rich,adjective,zengin,Oxford-3000, , ,A1,He's the third richest man in the country.,Ülkenin en zengin üçüncü adamı.,0
97,right,adjective,Sağ,Oxford-3000, , ,A1,You got three answers right and two wrong.,Üç doğru; iki yanlış cevabınız var.,0
98,sad,adjective,üzgün,Oxford-3000, , ,A1,I've just received some very sad news.,Az önce çok üzücü bir haber aldım.,0
99,same,adjective,Aynı,Oxford-3000, , ,A1,My twin sister and I have the same nose.,İkiz kardeşimle burnumuz aynı.,0
100,second (next after the first)/,adjective,ikinci (birinciden sonraki)/,Oxford-3000,,,A1,This is the second time,Bu ikinci kez,0
101,short,adjective,kısa,Oxford-3000, , ,A1,Her hair is much shorter than it used to be.,Saçları eskiden olduğundan çok daha kısa.,0
102,sick,adjective,hasta,Oxford-3000, , ,A1,My father has been off sick (= not working because of illness) for a long time.,Babam uzun zamandır hastalık nedeniyle çalışmıyor.,0
103,similar,adjective,benzer,Oxford-3000, , ,A1,My father and I have similar views on politics.,Babamla siyasete bakış açımız aynı.,0
104,slow,adjective,yavaş,Oxford-3000, , ,A1,She's a very slow eater.,Çok yavaş yiyor.,0
105,small,adjective,küçük,Oxford-3000, , ,A1,Would you like a large or small cola with your burger?,Burgerinizin yanında büyük boy mu yoksa küçük boy mu kola istersiniz?,0
106,sorry,adjective,Üzgünüm,Oxford-3000, , ,A1,Oh; I'm sorry - I didn't see you there.,Ah; özür dilerim; seni orada görmedim.,0
107,special,adjective,özel,Oxford-3000, , ,A1,The car has a number of special safety features.,Araçta bir dizi özel güvenlik özelliği bulunuyor.,0
108,strong,adjective,güçlü,Oxford-3000, , ,A1,She must be very strong to carry such a weight on her back.,Sırtında bu kadar yükü taşıyabilecek kadar güçlü olmalı.,0
109,sure,adjective,Elbette,Oxford-3000, , ,A1,I'm sure (that) I left my keys on the table.,Anahtarlarımı masanın üzerinde bıraktığımdan eminim.,0
110,tall,adjective,uzun,Oxford-3000, , ,A1,He's six feet tall.,Boyu 1.80.,0
111,terrible,adjective,korkunç,Oxford-3000, , ,A1,The weather was terrible.,Hava çok kötüydü.,0
112,thirsty,adjective,susuz,Oxford-3000, , ,A1,I felt/was hot and thirsty after the basketball game.,Basketbol maçından sonra sıcak bastı ve susadım.,0
113,tired,adjective,yorgun,Oxford-3000, , ,A1,I was so tired when I got home from work last night that I had a quick nap.,Dün gece işten eve geldiğimde o kadar yorgundum ki kısa bir şekerleme yaptım.,0
114,true,adjective,DOĞRU,Oxford-3000,,,A1,That is a true story,Bu gerçek bir hikaye,0
115,useful,adjective,kullanışlı,Oxford-3000, , ,A1,A good knife is probably one of the most useful things you can have in a kitchen.,İyi bir bıçak; muhtemelen bir mutfakta sahip olabileceğiniz en kullanışlı şeylerden biridir.,0
116,warm,adjective,ılık,Oxford-3000, , ,A1,Are you warm enough or do you want me to put the heating on?,Yeterince sıcak mısın yoksa kaloriferi açmamı mı istersin?,0
117,white,adjective,beyaz,Oxford-3000, , ,A1,He's white-haired now.,Artık saçları beyazladı.,0
118,wonderful,adjective,müthiş,Oxford-3000, , ,A1,He's a wonderful cook.,Harika bir aşçı.,0
119,wrong,adjective,yanlış,Oxford-3000, , ,A1,Three of your answers were wrong.,Cevaplarınızdan üçü yanlıştı.,0
120,young,adjective,genç,Oxford-3000, , ,A1,His girlfriend's very young.,Kız arkadaşı çok genç.,0
121,FALSE,adjective,YANLIŞ,Oxford-3000,,,A1,That statement is false,Bu ifade yanlıştır,0
122,TRUE,adjective,DOĞRU,Oxford-3000, , ,A1,Is it true that Mariana and Mark are getting married?,Mariana ve Mark'ın evleneceği doğru mu?,0
123,above,adverb,üstünde,Oxford-3000, , ,A1,There's a mirror above the sink.,Lavabonun üstünde bir ayna var.,0
124,again,adverb,Tekrar,Oxford-3000, , ,A1,If he does it again I'll have to tell him.,Eğer bir daha yaparsa ona söylemek zorunda kalacağım.,0
125,also,adverb,Ayrıca,Oxford-3000,,,A1,She is a talented singer and also a fine actress,O yetenekli bir şarkıcı ve aynı zamanda iyi bir oyuncu,0
126,always,adverb,Her zaman,Oxford-3000, , ,A1,It's always cold in this room.,Bu oda her zaman soğuktur.,0
127,away,adverb,uzak,Oxford-3000, , ,A1,I've given away all my old clothes to charity.,Eski kıyafetlerimin hepsini hayır kurumlarına bağışladım.,0
128,below,adverb,altında,Oxford-3000, , ,A1,From the top of the skyscraper the cars below us looked like insects.,Gökdelenin tepesinden altımızdaki arabalar böceklere benziyordu.,0
129,down,adverb,aşağı,Oxford-3000, , ,A1,Is this lift going down?,Bu asansör aşağı iniyor mu?,0
130,downstairs,adverb,alt katta,Oxford-3000, , ,A1,I went downstairs to answer the phone.,Aşağıya inip telefonu açtım.,0
131,else,adverb,başka,Oxford-3000, , ,A1,Everybody else has (= all the other people have) agreed except for you.,Herkes (= diğer tüm insanlar) aynı fikirde; sen hariç.,0
132,even,adverb,eşit,Oxford-3000,,,A1,He can even speak French,Hatta Fransızca bile konuşabiliyor,0
133,ever,adverb,durmadan,Oxford-3000, , ,A1,Nothing ever happens here in the evening.,Akşamları burada hiçbir şey olmuyor.,0
134,far,adverb,uzak,Oxford-3000, , ,A1,How far is it from Australia to New Zealand?,Avustralya'dan Yeni Zelanda'ya uzaklık ne kadardır?,0
135,here,adverb,Burada,Oxford-3000,,,A1,Please come here,Lütfen buraya gel,0
136,how,adverb,Nasıl,Oxford-3000,,,A1,How are you feeling,Nasıl hissediyorsun?,0
137,however,adverb,Yine de,Oxford-3000, , ,A1,However hungry I am; I never seem to be able to finish off a whole pizza.,Ne kadar aç olursam olayım; bir türlü bütün bir pizzayı bitiremiyorum.,0
138,just,adverb,Sadece,Oxford-3000,,,A1,I just finished my work,Az önce işimi bitirdim,0
139,later,adverb,Daha sonra,Oxford-3000, , ,A1,He'll be back later.,Daha sonra geri dönecek.,0
140,maybe,adverb,Belki,Oxford-3000, , ,A1,Maybe they'll come tomorrow.,Belki yarın gelirler.,0
141,never,adverb,Asla,Oxford-3000, , ,A1,We've never been to Australia.,Biz hiç Avustralya'ya gitmedik.,0
142,not,adverb,Olumsuz,Oxford-3000, , ,A1,I'm just not interested.,Ben ilgilenmiyorum.,0
143,now,adverb,Şimdi,Oxford-3000,,,A1,I want to leave now,Şimdi ayrılmak istiyorum,0
144,o’clock,adverb,saat,Oxford-3000,,,A1,It is five o’clock,Saat beş,0
145,off,adverb,kapalı,Oxford-3000, , ,A1,He drove off at the most incredible speed.,İnanılmaz bir hızla uzaklaştı.,0
146,often,adverb,sıklıkla,Oxford-3000, , ,A1,I often see him in the garden.,Onu sık sık bahçede görüyorum.,0
147,once,adverb,bir kere,Oxford-3000, , ,A1,I went sailing once; but I didn't like it.,Bir kere yelken gezisine çıktım; ama pek hoşuma gitmedi.,0
148,only,adverb,sadece,Oxford-3000,,,A1,I only have one dollar,Sadece bir dolarım var,0
149,pretty,adverb,tatlı,Oxford-3000, , ,A1,The house has four bedrooms; so it's pretty big.,Evin dört yatak odası var; yani oldukça büyük.,0
150,probably,adverb,muhtemelen,Oxford-3000, , ,A1,I'll probably be home by midnight.,Muhtemelen gece yarısına doğru evde olurum.,0
151,quickly,adverb,hızlıca,Oxford-3000, , ,A1,We'll have to walk quickly to get there on time.,Oraya zamanında varmak için hızlı yürümemiz gerekecek.,0
152,quite,adverb,epeyce,Oxford-3000, , ,A1,The two situations are quite different.,İki durum birbirinden oldukça farklıdır.,0
153,really,adverb,Gerçekten,Oxford-3000, , ,A1,He isn't really angry - he's just pretending.,Aslında kızgın değil; sadece sinirliymiş gibi davranıyor.,0
154,sometimes,adverb,Bazen,Oxford-3000, , ,A1,Sometimes we take food with us and sometimes we buy food when we're there.,Bazen yanımıza yiyecek alıyoruz; bazen de gittiğimiz yerde yiyecek satın alıyoruz.,0
155,soon,adverb,yakında,Oxford-3000, , ,A1,She'll soon be here./She'll be here soon.,Yakında burada olacak./Yakında burada olacak.,0
156,still,adverb,Hala,Oxford-3000,,,A1,He is still sleeping,O hala uyuyor,0
157,then,adverb,Daha sonra,Oxford-3000,,,A1,First I will go to the bank then I will go home,Önce bankaya gideceğim sonra eve gideceğim,0
158,there,adverb,Orası,Oxford-3000,,,A1,There is a cat on the roof,Çatıda bir kedi var,0
159,today,adverb,Bugün,Oxford-3000, , ,A1,What's the date today?,Bugünün tarihi ne?,0
160,together,adverb,birlikte,Oxford-3000, , ,A1,We used to go to yoga together.,Birlikte yogaya gidiyorduk.,0
161,tomorrow,adverb,Yarın,Oxford-3000, , ,A1,I don't have time now. I'll do it tomorrow.,Şimdi vaktim yok. Yarın yaparım.,0
162,tonight,adverb,bu akşam,Oxford-3000, , ,A1,Tonight will be my first chance to meet her.,Bu gece onunla ilk kez tanışma şansım olacak.,0
163,too,adverb,fazla,Oxford-3000,,,A1,I am tired too,Ben de yorgunum,0
164,up,adverb,yukarı,Oxford-3000, , ,A1,Put those books up on the top shelf.,Şu kitapları en üst rafa koy.,0
165,upstairs,adverb,üst katta,Oxford-3000, , ,A1,He heard glass breaking and ran upstairs to see what had caused it.,Cam kırılma sesini duydu ve neyin sebep olduğunu anlamak için yukarı koştu.,0
166,usually,adverb,genellikle,Oxford-3000, , ,A1,He usually gets home about six o'clock.,O genellikle saat altı civarında eve gelir.,0
167,very,adverb,çok,Oxford-3000,,,A1,It is very hot today,Bugün hava çok sıcak,0
168,well,adverb,Peki,Oxford-3000, , ,A1,The documentary presented both sides of the problem very well.,Belgesel; sorunun her iki tarafını da çok iyi bir şekilde ortaya koymuş.,0
169,when,adverb,Ne zaman,Oxford-3000,,,A1,When is your birthday,Doğum günün ne zaman,0
170,where,adverb,Neresi,Oxford-3000,,,A1,Where are you going,Nereye gidiyorsun,0
171,why,adverb,Neden,Oxford-3000,,,A1,Why are you late,neden geç kaldın,0
172,yes,adverb,Evet,Oxford-3000, , ,A1,If you'd say yes (= agree) to the request you'd avoid a lot of trouble.,Eğer isteğe evet (= katılıyorum) derseniz; bir sürü sorundan kurtulmuş olursunuz.,0
173,yesterday,adverb,Dün,Oxford-3000, , ,A1,He called yesterday while you were out.,Dün sen dışarıdayken aradı.,0
174,and,conjunction,Ve,Oxford-3000,,,A1,I like to read and write,Okumayı ve yazmayı severim,0
175,as,conjunction,gibi,Oxford-3000,,,A1,She works as a teacher,Öğretmen olarak çalışıyor,0
176,because,conjunction,Çünkü,Oxford-3000, , ,A1,We can't go to Julia's party because we're going away that weekend.,Julia'nın partisine gidemeyiz çünkü o hafta sonu bir yere gideceğiz.,0
177,but,conjunction,Ancak,Oxford-3000,,,A1,I want to go but I am tired,Gitmek istiyorum ama yorgunum,0
178,hey,conjunction,Hey,Oxford-3000,,,A1,Hey look at that,Hey; şuna bak,0
179,hi,conjunction,MERHABA,Oxford-3000,,,A1,Hi how are you,Merhaba; nasılsın?,0
180,if,conjunction,eğer,Oxford-3000, , ,A1,I'll pay you double if you get the work finished by Friday.,Cuma gününe kadar işi bitirirsen sana iki katını öderim.,0
181,oh,conjunction,ah,Oxford-3000,,,A1,Oh I did not know that,Ah bunu bilmiyordum,0
182,or,conjunction,veya,Oxford-3000,,,A1,Do you want tea or coffee,Çay mı yoksa kahve mi istersiniz?,0
183,so,conjunction,Bu yüzden,Oxford-3000,,,A1,It was raining so I took an umbrella,Yağmur yağıyordu bu yüzden bir şemsiye aldım,0
184,yeah,conjunction,Evet,Oxford-3000,,,A1,Yeah I agree with you,Evet; sana katılıyorum.,0
185,a,determiner,A,Oxford-3000,,,A1,I saw a cat on the wall,Duvarda bir kedi gördüm,0
186,all,determiner,Tümü,Oxford-3000,,,A1,All the students passed the exam,Tüm öğrenciler sınavı geçti,0
187,an,determiner,BİR,Oxford-3000,,,A1,I ate an apple for a snack,Atıştırmalık olarak bir elma yedim,0
188,another,determiner,bir diğer,Oxford-3000,,,A1,Can I have another piece of cake,Bir parça daha pasta alabilir miyim?,0
189,any,determiner,herhangi,Oxford-3000,,,A1,Do you have any questions,Herhangi bir sorunuz var mı?,0
190,both,determiner,ikisi birden,Oxford-3000, , ,A1,Both my parents are teachers.,Annem ve babam öğretmendir.,0
191,each,determiner,her biri,Oxford-3000,,,A1,Each student received a prize,Her öğrenciye bir ödül verildi,0
192,enough,determiner,yeterli,Oxford-3000, , ,A1,Is there enough dessert/Are there enough desserts for everyone?,Herkese yetecek kadar tatlı var mı?,0
193,every,determiner,Her,Oxford-3000,,,A1,I go for a walk every day,Her gün yürüyüşe çıkıyorum,0
194,few,determiner,bir kaç,Oxford-3000,,,A1,I have a few good friends,Birkaç iyi arkadaşım var,0
195,first,determiner,Birinci,Oxford-3000, , ,A1,This is my first visit to New York.,New York'a ilk gelişim.,0
196,his,determiner,onun,Oxford-3000, , ,A1,The bull tossed his horns.,Boğa boynuzlarını salladı.,0
197,its,determiner,onun,Oxford-3000, , ,A1,The dog hurt its paw.,Köpek patisini incitti.,0
198,many,determiner,birçok,Oxford-3000,,,A1,There are many books on the shelf,Rafta çok sayıda kitap var,0
199,more,determiner,Daha,Oxford-3000,,,A1,I need more time,Daha fazla zamana ihtiyacım var,0
200,most,determiner,en,Oxford-3000,,,A1,Most people enjoy music,Çoğu insan müzikten hoşlanır,0
201,much,determiner,fazla,Oxford-3000,,,A1,How much does it cost,Fiyatı ne kadar,0
202,my,determiner,Benim,Oxford-3000, , ,A1,It wasn't my fault.,Benim hatam değildi.,0
203,no,determiner,HAYIR,Oxford-3000, , ,A1,There's no butter left.,Tereyağı kalmadı.,0
204,one,determiner,bir,Oxford-3000, , ,A1,He had two slices and I only had one.,O iki dilim yedi; ben ise sadece bir dilim.,0
205,our,determiner,bizim,Oxford-3000, , ,A1,We bought our house several years ago.,Evimizi birkaç yıl önce satın aldık.,0
206,own,determiner,sahip olmak,Oxford-3000, , ,A1,Each neighbourhood in New York has its own characteristics.,New York'taki her mahallenin kendine has özellikleri var.,0
207,some,determiner,bazı,Oxford-3000,,,A1,I would like some water,Biraz su istiyorum,0
208,that,determiner,O,Oxford-3000,,,A1,That is my house,O benim evim,0
209,the,determiner,o,Oxford-3000,,,A1,The sun is shining,Güneş parlıyor,0
210,their,determiner,onların,Oxford-3000, , ,A1,He gave them their coats.,Onlara paltolarını verdi.,0
